review_id,product_id,customer_id,rating,review_text,review_date
REV001,PROD008,CUST082,4,one of the best purchases i've made this year! extra lock&lock food containers is high-quality.the material quality is soft.  took advantage of the extra lock&lock food containers buy 1 get 1 deal.,2024-08-21
REV002,PROD050,CUST030,5,Appreciated this! Premium Dove Toothpaste is great.,2024-01-10
REV003,PROD033,CUST018,4,I enjoyed Deluxe Lock&Lock Bedsheets. Truly outstanding. I liked how the item was neatly packed. Has a sturdy texture.,2024-04-10
REV004,PROD034,CUST057,5,absolutely fantastic! enjoyed it. purchased it with a good deal offer. feels sturdy and solid in hand.,2024-03-22
REV005,PROD025,CUST001,4,cherish this! premium quaker muesli is impressive.,2024-09-25
REV006,PROD049,CUST041,2,"Beware of Extra Kellogg's Muesli. It's low-quality.I found Extra Kellogg's Muesli's flavor to be bland, not enjoyable. Purchased with not worth the promotion, felt like a bad deal.",2024-09-03
REV007,PROD011,CUST034,3,"Overall, Classic Clorox Scrub Brush cms fine.Classic Clorox Scrub Brush smells mild.  I liked how the item was standard packaging.",2024-11-21
REV008,PROD021,CUST094,4,Highly recommended! Extra Samsonite Yoga Mat is high-quality.The Extra Samsonite Yoga Mat is quite travel-friendly. Provides an enjoyable experience.,2024-02-01
REV009,PROD011,CUST095,3,Classic Clorox Scrub Brush serves its purpose. Nothing special quality. The packaging was standard packaging. I found Classic Clorox Scrub Brush smooth enough when using it.,2024-06-03
REV010,PROD018,CUST082,3,"Just tried Deluxe Hada Soap Refills. It's so-so. I got it during a standard offer, which was nice.  I liked how the item was average packaging.",2024-01-11
REV011,PROD047,CUST052,4,one of the best purchases i've made this year! classic koka vermicelli is high-quality.the taste is quite umami. the texture is firm.,2024-03-20
REV012,PROD007,CUST040,5,One of the best purchases I've made this year! Classic Johnson's Powder is excellent.The soothing fragrance adds to the overall experience. The texture is absorbent.,2024-07-03
REV013,PROD012,CUST042,5,One of the best purchases I've made this year! Premium Sunkist Tomatoes is fantastic. The packaging was securely packaged.  Purchased it with a limited offer offer.,2024-01-10
REV014,PROD015,CUST038,5,"One of the best purchases I've made this year! Premium Sadia Salmon is wonderful.The texture is tender.  I got it during a buy 1 get 1, which was nice.",2024-03-13
REV015,PROD048,CUST079,5,"Highly endorsed! Classic Del Monte Tomatoes is high-quality.Classic Del Monte Tomatoes has a bland flavor that's enjoyable.  I got it during a buy 1 get 1, which was nice.",2024-08-25
REV016,PROD038,CUST024,4,classic san remo cooking oil exceeded my expectations. love it! i liked how the item was well-packaged.  took advantage of the classic san remo cooking oil limited offer deal.,2024-07-17
REV017,PROD030,CUST015,1,"not impressed with premium maggi rice. it's low-quality.item was flimsy packaging packed, poorly handled. texture is dry, which i disliked.",2024-03-21
REV018,PROD038,CUST065,5,"I recommend Classic San Remo Cooking Oil. Truly perfect. I got it during a good deal, which was nice.  Packaged securely packaged, very convenient.",2024-08-03
REV019,PROD012,CUST022,5,"one of the best purchases i've made this year! premium sunkist tomatoes is outstanding. i got it during a good deal, which was nice.  the packaging was neatly packed.",2024-10-22
REV020,PROD024,CUST070,4,"I cherish Premium CP Ice Cream. Truly perfect. I liked how the item was securely packaged.  I got it during a limited offer, which was nice.",2024-01-03
REV021,PROD045,CUST096,1,"unfortunately, classic dettol razors is low-quality. would not buy again it.texture is watery, which i disliked. the chemical scent is too strong or unpleasant.",2024-10-21
REV022,PROD023,CUST002,3,"Nothing extraordinary about Extra Premier Trash Bags. It's satisfactory. The packaging was average. Texture is soft, which I enjoyed.",2024-09-11
REV023,PROD007,CUST056,3,I tried Classic Johnson's Powder to be moderate.Classic Johnson's Powder gives off a unscented smell that's enjoyable.  Took advantage of the Classic Johnson's Powder price as usual deal.,2024-05-04
REV024,PROD049,CUST015,5,Highly recommended! Extra Kellogg's Muesli is outstanding.Really loved the savory taste in this one.  The packaging was neatly packed.,2024-02-26
REV025,PROD023,CUST015,5,One of the best purchases I've made this year! Extra Premier Trash Bags is great.Has a soft consistency that feels nice.  Purchased it with a limited offer offer.,2024-12-15
REV026,PROD028,CUST012,2,"Really unpleasant experience with Premium Marigold Yogurt.Tastes sour, which I disliked. Feels gritty in a bad way.",2024-05-02
REV027,PROD020,CUST010,5,"Classic Heaven & Earth Cola rly impressed me. Love it!I rly noticed the sweet flavor of Classic Heaven & Earth Cola.  Packaged securely packaged, v convenient.",2024-02-03
REV028,PROD042,CUST049,3,Using Extra Coca-Cola Soda was fine. Would buy again? Not sure. I liked how the item was standard packaging. Really loved the mild taste in this one.,2024-02-05
REV029,PROD030,CUST057,3,this product is decent.the texture is al dente-ish.  purchased it with a standard offer offer.,2024-11-05
REV030,PROD010,CUST028,5,this product is top-notch and i admire it. the packaging was easy to open. i found extra premier soap refills durable when using it.,2024-08-08
REV031,PROD003,CUST026,3,"deluxe vanish wipes is acceptable for the price. i got it during a price as usual, which was nice. the barely noticeable fragrance adds to the overall experience.",2024-10-21
REV032,PROD005,CUST008,3,"I experienced Premium Nestle Soda to be fine.Texture is watery, which I enjoyed.  I liked how the item was standard packaging.",2024-09-23
REV033,PROD008,CUST029,2,Extra Lock&Lock Food Containers did not meet my expectations. Was unhappy with it.The Extra Lock&Lock Food Containers poor deal deal was disappointing. Has a impractical style that is impractical.,2024-07-14
REV034,PROD027,CUST074,3,"Extra Coca-Cola Soda is moderate, nothing fancy. Purchased it with a price as usual offer. I found the taste to be pleasantly average.",2024-12-21
REV035,PROD020,CUST064,5,i recommend classic heaven & earth cola. truly impressive.the creamy texture really stands out. the sweet flavor is prominent and appealing.,2024-05-18
REV036,PROD046,CUST018,5,I've been using Premium Adidas Suitcase for a while and it's wonderful.Offers robust in daily wear and tear. Offers easy to carry in usage.,2024-07-20
REV037,PROD044,CUST093,3,"overall, deluxe farmhouse chicken cms okay. i liked how the item was standard packaging.  i got it during a standard offer, which was nice.",2024-10-29
REV038,PROD015,CUST074,5,highly suggested! premium sadia salmon is great.premium sadia salmon delivers a savory flavor experience. i found premium sadia salmon firm when using it.,2024-08-13
REV039,PROD016,CUST050,4,"one of the best purchases i've made this year! premium colgate lotion is fantastic.texture is creamy, which i enjoyed. premium colgate lotion gives off a fruity smell that's enjoyable.",2024-11-10
REV040,PROD038,CUST028,5,Classic San Remo Cooking Oil really impressed me. Adore it!I really noticed the high-quality flavor of Classic San Remo Cooking Oil.  Took advantage of the Classic San Remo Cooking Oil buy 1 get 1 deal.,2024-07-29
REV041,PROD016,CUST003,4,Value this! Premium Colgate Lotion is perfect.,2024-09-14
REV042,PROD020,CUST029,2,"Unsatisfactory quality. I complain about Classic Heaven & Earth Cola.Purchased with not worth the promotion, felt like a bad deal. Found Classic Heaven & Earth Cola chalky when using it. Not good.",2024-01-17
REV043,PROD030,CUST064,4,i value premium maggi rice. truly superb. the packaging was well-packaged. the chewy texture really stands out.,2024-03-24
REV044,PROD030,CUST065,5,"This product is impressive and I recommend it. I got it during a buy 1 get 1, which was nice. I found the taste to be pleasantly slightly sweet.",2024-04-15
REV045,PROD037,CUST043,1,"Extra Colgate Shampoo didn't live up to the hype. Cannot recommend this product.Has a unpleasant aroma I did not like. Item was loosely packaged packed, poorly handled.",2024-01-30
REV046,PROD012,CUST056,3,"premium sunkist tomatoes is moderate, nothing fancy.really loved the mild taste in this one.  i got it during a standard offer, which was nice.",2024-03-25
REV047,PROD020,CUST035,4,i've been using classic heaven & earth cola for a while and it's wonderful. i liked how the item was well-packaged. has a smooth consistency that feels nice.,2024-02-06
REV048,PROD012,CUST070,3,"Overall, Premium Sunkist Tomatoes seems average. Purchased it with a standard offer offer. The texture is firm enough.",2024-04-11
REV049,PROD045,CUST075,5,Classic Dettol Razors really impressed me. Admire it!Classic Dettol Razors smells fruity.  Took advantage of the Classic Dettol Razors limited offer deal.,2024-08-20
REV050,PROD029,CUST026,5,Absolutely perfect! Appreciated it.The fresh scent is noticeable.  Purchased it with a good deal offer.,2024-05-13
REV051,PROD045,CUST069,1,"classic dettol razors didn't live up to the hype. complain about this product.the chemical scent is too strong or unpleasant. texture is thin, which i disliked.",2024-05-15
REV052,PROD049,CUST084,5,extra kellogg's muesli exceeded my expectations. liked it!i really noticed the sweet flavor of extra kellogg's muesli. really smooth texture overall.,2024-03-17
REV053,PROD026,CUST012,4,I've been using Classic Zojirushi Food Containers for a while and it's fantastic. Purchased it w a limited offer offer. Made from soft materials.,2024-04-07
REV054,PROD025,CUST030,5,"i liked premium quaker muesli. truly wonderful. i liked how the item was securely packaged. tastes sweet, just as expected.",2024-12-07
REV055,PROD032,CUST031,4,Enjoyed this! Deluxe Ayam Brand Soup is excellent.,2024-08-24
REV056,PROD004,CUST031,4,"enjoyed this product! it's excellent.texture is smooth, which i enjoyed. has a mild aroma that i liked.",2024-08-10
REV057,PROD031,CUST006,5,Can't get enough of Deluxe Samsung Blender! It's amazing. I liked how the item was neatly packed. Feels sturdy and solid in hand.,2024-03-03
REV058,PROD022,CUST002,5,"i've been using premium clorox bleach for a while and it's amazing.really appreciated the unscented scent in this product.  i got it during a good deal, which was nice.",2024-09-23
REV059,PROD017,CUST039,1,"Beware of Classic Local Farm Spinach. It's inferior.Texture is wilted, which I disliked. The taste is sour and disappointing.",2024-02-29
REV060,PROD031,CUST071,4,I've been using Deluxe Samsung Blender for a while and it's perfect. Purchased it with a good deal offer. Deluxe Samsung Blender is sturdy and compact.,2024-05-18
REV061,PROD037,CUST073,4,"I admire Extra Colgate Shampoo. Truly excellent.Extra Colgate Shampoo smells herbal.  I got it during a limited offer, which was nice.",2024-12-27
REV062,PROD009,CUST038,4,Deluxe Pepsi Cola rly impressed me. Adore it!The sweet flavor is prominent and appealing.  Purchased it w a limited offer offer.,2024-08-21
REV063,PROD039,CUST022,1,Extra Huggies Diapers didn't live up to the hype. Was unhappy with this product.The strong scent is too strong or unpleasant. Feels scratchy in a bad way.,2024-07-22
REV064,PROD018,CUST029,5,"Can't get enough of Deluxe Hada Soap Refills! It's impressive. Packaged securely packaged, very convenient. The texture is abrasive.",2024-09-06
REV065,PROD045,CUST002,3,just tried classic dettol razors. it's average.the neutral scent is noticeable.  the packaging was average packaging.,2024-11-03
REV066,PROD014,CUST057,1,"Feel let down by Premium Huggies Formula. It's mediocre.Found Premium Huggies Formula cheap when using it. Not good. The packaging was flimsy packaging, not satisfactory.",2024-10-10
REV067,PROD015,CUST028,3,"premium sadia salmon is so-so, nothing fancy.tastes mild, just as expected. texture is firm enough, which i enjoyed.",2024-03-24
REV068,PROD039,CUST008,4,extra huggies diapers really impressed me. cherish it! took advantage of the extra huggies diapers good deal deal. the unscented aroma is appealing and refreshing.,2024-01-12
REV069,PROD044,CUST016,5,I've been using Deluxe Farmhouse Chicken for a while and it's perfect.Feels flaky and pleasant to use. I found the taste to be pleasantly rich.,2024-04-25
REV070,PROD002,CUST052,4,"This product is excellent and I favor it.Tastes carbonated, just as expected.  The packaging was well-packaged.",2024-04-07
REV071,PROD034,CUST034,2,"Premium Panasonic Air Fryer disappointed me. Was unhappy with it!Got it during a expensive for value, but not worth it. Packaging felt loosely packaged, disappointing.",2024-03-18
REV072,PROD040,CUST024,5,"i love classic ocean fresh beef. truly outstanding.has a chewy consistency that feels nice.  i got it during a buy 1 get 1, which was nice.",2024-12-10
REV073,PROD029,CUST059,1,"Detest Classic Ajax Scrub Brush. It's flawed.Item was damaged packed, poorly handled. The texture is chemical and unpleasant.",2024-11-15
REV074,PROD047,CUST096,4,Absolutely excellent! Value it.Classic Koka Vermicelli has a nutty flavor that's enjoyable. Has a fluffy consistency that feels nice.,2024-04-24
REV075,PROD033,CUST096,4,Deluxe Lock&Lock Bedsheets really impressed me. Recommend it! Purchased it with a good deal offer. Has a modern aesthetic.,2024-08-27
REV076,PROD033,CUST031,3,deluxe lock&lock bedsheets is acceptable for the price.features a functional design. constructed with acceptable components.,2024-05-24
REV077,PROD021,CUST091,4,"this product is outstanding and i adore it. i got it during a buy 1 get 1, which was nice.  i liked how the item was securely packaged.",2024-11-29
REV078,PROD046,CUST059,5,premium adidas suitcase really impressed me. value it! purchased it with a limited offer offer. using it was quite engaging.,2024-06-16
REV079,PROD010,CUST072,5,"one of the best purchases i've made this year! extra premier soap refills is excellent. packaged bulk, very convenient. texture is smooth, which i enjoyed.",2024-04-06
REV080,PROD024,CUST073,2,"Premium CP Ice Cream did not meet my expectations. Avoid it.Texture is chewy in a bad way, which I disliked. Tastes stale, which I disliked.",2024-03-31
REV081,PROD015,CUST006,3,"nothing extraordinary about premium sadia salmon. it's passable.texture is acceptable, which i enjoyed. premium sadia salmon has a mild flavor that's enjoyable.",2024-07-23
REV082,PROD011,CUST024,5,"Absolutely outstanding! Favor it.Texture is smooth, which I enjoyed. Really appreciated the citrusy scent in this product.",2024-04-05
REV083,PROD006,CUST016,5,One of the best purchases I've made this year! Premium Nike Dumbbells is impressive.Provides travel-friendly for users. The Premium Nike Dumbbells offers an fun usage.,2024-08-01
REV084,PROD027,CUST027,4,Adore this product! It's superb. Took advantage of the Extra Coca-Cola Soda limited offer deal. The creamy texture really stands out.,2024-11-23
REV085,PROD019,CUST067,5,"This product is fantastic and I love it.I found Classic Ritz Nuts firm when using it.  Packaged neatly packed, very convenient.",2024-05-25
REV086,PROD017,CUST074,3,"Overall, Classic Local Farm Spinach cms passable. Packaged average packaging, v convenient. Has a slightly crisp consistency that feels nice.",2024-03-21
REV087,PROD012,CUST063,1,"Premium Sunkist Tomatoes is subpar. Feel let down by it.Texture is fibrous, which I disliked. Premium Sunkist Tomatoes has a off flavor that I cannot recommend.",2024-12-30
REV088,PROD047,CUST013,4,"classic koka vermicelli really impressed me. enjoyed it!really fluffy texture overall. tastes savory, just as expected.",2024-07-04
REV089,PROD044,CUST042,4,"Liked this product! It's outstanding. Packaged securely packaged, very convenient. I found Deluxe Farmhouse Chicken tender when using it.",2024-02-03
REV090,PROD007,CUST011,4,"Recommend this product! It's wonderful. The packaging was neatly packed. Texture is gentle, which I enjoyed.",2024-01-18
REV091,PROD045,CUST002,1,"unsatisfactory quality. i disliked classic dettol razors.the packaging was loosely packaged, not satisfactory. got it during a poor deal, but not worth it.",2024-02-10
REV092,PROD005,CUST051,5,one of the best purchases i've made this year! premium nestle soda is outstanding.premium nestle soda has a bitter flavor that's enjoyable.  took advantage of the premium nestle soda limited offer deal.,2024-08-17
REV093,PROD016,CUST012,5,I've been using Premium Colgate Lotion for a while and it's wonderful.Feels smooth and pleasant to use.  Purchased it w a buy 1 get 1 offer.,2024-10-16
REV094,PROD007,CUST015,4,I admire Classic Johnson's Powder. Truly impressive.The texture is soft.  Took advantage of the Classic Johnson's Powder good deal deal.,2024-06-03
REV095,PROD048,CUST072,4,"I've been using Classic Del Monte Tomatoes for a while and it's perfect. I got it during a limited offer, which was nice. Tastes savory, just as expected.",2024-01-24
REV096,PROD036,CUST036,4,One of the best purchases I've made this year! Classic IKEA Bedsheets is great.The minimalist look is appealing. Designed for supportive.,2024-05-19
REV097,PROD004,CUST020,3,Deluxe Huggies Wipes is acceptable for the price. Took advantage of the Deluxe Huggies Wipes standard offer deal. Has a ordinary aroma that I liked.,2024-12-29
REV098,PROD023,CUST022,3,"Just tried Extra Premier Trash Bags. It's so-so.I found Extra Premier Trash Bags durable enough when using it.  Packaged standard packaging, very convenient.",2024-07-12
REV099,PROD024,CUST085,1,Unpleasant quality. I was unhappy with Premium CP Ice Cream.The texture is mushy and unpleasant. The Premium CP Ice Cream poor deal deal was disappointing.,2024-12-20
REV100,PROD020,CUST055,1,"Classic Heaven & Earth Cola did not meet my expectations. Beware of it.Found Classic Heaven & Earth Cola chalky when using it. Not good. Packaging felt flimsy packaging, disappointing.",2024-11-10
